City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hawaiian paradise park,19.5933,-154.9731,21.13,84,100,2.57,US,1698507483
1,hadibu,12.65,54.0333,26.73,73,76,4.23,YE,1698507483
2,cadale,2.7603,46.3222,28.1,74,100,4.08,SO,1698507484
3,la foa,-21.7108,165.8276,21.68,80,78,3.8,NC,1698507484
4,waitangi,-43.9535,-176.5597,9.9,83,35,4.92,NZ,1698507484
5,adamstown,-25.066,-130.1015,22.66,80,100,5.35,PN,1698507485
6,ilulissat,69.2167,-51.1,-3.99,80,100,4.12,GL,1698507466
7,bredasdorp,-34.5322,20.0403,14.17,62,91,6.04,ZA,1698507258
8,tiksi,71.6872,128.8694,-13.75,92,100,2.41,RU,1698507487
9,bethel,41.3712,-73.414,25.11,65,0,3.6,US,1698507269
10,nar'yan-mar,67.6713,53.087,-12.16,90,73,3.58,RU,1698507488
11,tawau,4.2498,117.8871,26.07,88,60,2.24,MY,1698507488
12,punta arenas,-53.15,-70.9167,6.06,49,75,3.6,CL,1698507386
13,mugia,43.1041,-9.2179,16.2,82,100,11.73,ES,1698507489
14,angaur state,6.906,134.13,28.17,72,100,1.75,PW,1698507489
15,puerto natales,-51.7236,-72.4875,2.25,93,100,2.06,CL,1698507490
16,kodinsk,58.6881,99.1844,-3.09,63,100,5.13,RU,1698507490
17,port lincoln,-34.7333,135.8667,10.19,77,29,2.4,AU,1698507491
18,puerto ayora,-0.7393,-90.3518,26.98,87,100,4.92,EC,1698507491
19,darwin,-12.4611,130.8418,28.99,74,40,3.09,AU,1698507492
20,phatthalung,7.5,100.0833,25.96,86,100,0.74,TH,1698507492
21,colonia,50.9333,6.95,14.42,77,75,4.12,DE,1698507314
22,port-aux-francais,-49.35,70.2167,5.16,98,100,7.94,TF,1698507493
23,olonkinbyen,70.9221,-8.7187,-0.89,78,91,2.83,SJ,1698507494
24,saudarkrokur,65.7461,-19.6394,1.4,82,97,2.22,IS,1698507494
25,albany,42.6001,-73.9662,23.3,68,26,4.62,US,1698507494
26,badger,64.8,-147.5333,-8.69,83,0,0.0,US,1698507495
27,west island,-12.1568,96.8225,25.99,78,100,8.75,CC,1698507495
28,i-n-salah,27.1935,2.4607,34.96,10,10,0.63,DZ,1698507496
29,utrik,11.2278,169.8474,28.43,74,86,7.76,MH,1698507496
30,papar,5.7333,115.9333,27.0,85,30,1.44,MY,1698507497
31,port alfred,-33.5906,26.891,13.43,95,80,2.24,ZA,1698507498
32,minas de marcona,-15.2119,-75.1103,16.35,77,98,5.05,PE,1698507498
33,ushuaia,-54.8,-68.3,7.79,49,75,4.63,AR,1698507498
34,saint marys,30.7305,-81.5465,27.79,75,0,4.63,US,1698507213
35,iqaluit,63.7506,-68.5145,-10.15,78,20,3.6,CA,1698507499
36,pandan,14.0453,124.1694,27.18,83,8,4.42,PH,1698507500
37,laojunmiao,39.8333,97.7333,7.01,35,68,0.96,CN,1698507500
38,atafu village,-8.5421,-172.5159,27.86,74,54,2.03,TK,1698507501
39,margate,51.3813,1.3862,14.06,83,76,3.58,GB,1698507501
40,tura,25.5198,90.2201,19.35,73,0,1.61,IN,1698507502
41,udachny,66.4167,112.4,-15.35,96,90,3.97,RU,1698507502
42,bafia,4.75,11.2333,28.78,68,72,1.24,CM,1698507503
43,broome,42.2506,-75.833,21.92,84,100,4.63,US,1698507503
44,coahuayana de hidalgo,18.7,-103.6583,29.36,72,93,0.77,MX,1698507503
45,beira,-19.8436,34.8389,27.05,74,0,7.2,MZ,1698507504
46,duderstadt,51.5131,10.2595,12.18,95,82,3.56,DE,1698507504
47,ribeira grande,38.5167,-28.7,19.22,68,40,6.69,PT,1698507505
48,kodiak,57.79,-152.4072,7.73,93,100,6.17,US,1698507506
49,karatas,36.582,35.3701,26.36,60,5,2.69,TR,1698507506
50,cole harbour,44.6724,-63.4751,20.54,78,20,4.63,CA,1698507506
51,tympaki,35.0729,24.7685,24.98,80,17,4.47,GR,1698507507
52,bhatpara abhaynagar,23.0153,89.4432,23.92,55,49,1.92,BD,1698507507
53,chonchi,-42.6128,-73.8092,9.56,77,86,6.09,CL,1698507509
54,hithadhoo,-0.6,73.0833,27.1,84,43,7.88,MV,1698507509
55,itoman,26.1247,127.6694,22.43,65,40,1.54,JP,1698507510
56,cabo san lucas,22.8909,-109.9124,25.84,72,0,3.09,MX,1698507510
57,luanda,-8.8368,13.2343,29.0,70,20,9.26,AO,1698507385
58,egilsstadir,65.2653,-14.3948,3.95,75,20,4.63,IS,1698507511
59,playa vicente,17.8333,-95.8167,25.84,84,96,3.86,MX,1698507511
60,susuman,62.7833,148.1667,-17.23,99,90,0.45,RU,1698507512
61,college,64.8569,-147.8028,-8.64,83,20,0.0,US,1698507361
62,nikolayevsk-on-amure,53.1406,140.73,-1.94,81,77,2.06,RU,1698507513
63,sinan,34.8262,126.1086,12.06,70,12,2.73,KR,1698507513
64,invercargill,-46.4,168.35,6.68,94,37,1.34,NZ,1698507514
65,stanley,54.868,-1.6985,10.01,93,75,3.09,GB,1698507514
66,yellowknife,62.456,-114.3525,-1.99,100,75,4.63,CA,1698507514
67,gamba,-2.65,10.0,27.23,78,48,3.85,GA,1698507515
68,puerto baquerizo moreno,-0.9,-89.6,26.55,74,75,8.23,EC,1698507516
69,qaqortoq,60.7167,-46.0333,0.96,72,19,0.71,GL,1698507516
70,taulaga,-11.0553,-171.0883,27.82,78,43,2.83,AS,1698507516
71,tazovsky,67.4667,78.7,-13.67,91,66,5.31,RU,1698507517
72,ascension,30.2169,-90.9001,27.89,64,0,4.12,US,1698507518
73,longyearbyen,78.2186,15.6401,-4.09,93,75,3.09,SJ,1698507518
74,vangaindrano,-23.35,47.6,23.46,91,87,3.96,MG,1698507518
75,edinburgh of the seven seas,-37.0676,-12.3116,14.48,91,100,5.91,SH,1698507519
76,uturoa,-16.7333,-151.4333,25.87,80,99,4.56,PF,1698507519
77,tual,-5.6667,132.75,27.8,80,86,2.6,ID,1698507520
78,guerrero negro,27.9769,-114.0611,19.94,67,0,6.02,MX,1698507520
79,dudinka,69.4058,86.1778,-12.96,99,90,1.34,RU,1698507521
80,kavaratti,10.5669,72.642,28.95,66,75,1.05,IN,1698507521
81,san ignacio,17.1561,-89.0714,26.08,83,75,0.0,BZ,1698507521
82,port elizabeth,-33.918,25.5701,13.16,88,100,5.66,ZA,1698507522
83,happy valley-goose bay,53.3168,-60.3315,1.17,93,100,1.54,CA,1698507522
84,maragogi,-9.0122,-35.2225,28.21,61,80,6.5,BR,1698507523
85,nuku'alofa,-21.1333,-175.2,22.19,88,20,6.17,TO,1698507523
86,belyy yar,53.6039,91.3903,-5.06,68,0,2.0,RU,1698507524
87,margaret river,-33.95,115.0667,14.81,73,100,4.83,AU,1698507524
88,youkounkoun,12.5333,-13.1333,34.2,44,81,1.11,GN,1698507525
89,midvagur,62.0511,-7.1939,7.46,61,75,5.14,FO,1698507525
90,grytviken,-54.2811,-36.5092,-1.19,95,100,2.93,GS,1698507525
91,brisas de zicatela,15.8369,-97.0419,30.29,58,0,1.54,MX,1698507526
92,meadow lake,34.8014,-106.5436,17.49,32,0,3.6,US,1698507526
93,fonte boa,-2.4959,-66.2662,31.76,58,100,1.22,BR,1698507527
94,kiranur,10.5699,78.7868,27.84,86,96,2.71,IN,1698507528
95,simanggang,1.2472,111.4528,25.01,100,78,0.0,MY,1698507528
96,thompson,55.7435,-97.8558,-5.91,93,100,2.06,CA,1698507529
97,pundong,-7.9522,110.3486,25.4,84,55,2.16,ID,1698507529
98,nadi,-17.8,177.4167,23.0,88,20,1.03,FJ,1698507530
99,malvan,16.0667,73.4667,26.83,70,3,2.58,IN,1698507530
100,spanish wells,26.323,-81.7957,28.88,62,0,8.23,US,1698507531
101,sakakah,29.9697,40.2064,29.76,20,99,5.83,SA,1698507531
102,kavieng,-2.5744,150.7967,27.24,83,10,6.41,PG,1698507532
103,jamestown,42.097,-79.2353,13.62,94,100,4.63,US,1698507338
104,ialibu,-6.2821,143.9935,13.93,99,100,0.88,PG,1698507533
105,torbat-e jam,35.244,60.6225,22.28,25,96,2.86,IR,1698507533
106,ta`u,-14.2336,-169.5144,26.3,83,52,7.18,AS,1698507534
107,lata,40.1629,-8.3327,17.26,83,96,5.65,PT,1698507534
108,sisimiut,66.9395,-53.6735,-4.1,77,78,4.53,GL,1698507535
109,mount gambier,-37.8333,140.7667,5.04,93,90,1.45,AU,1698507535
110,buala,-8.145,159.5921,26.04,84,96,1.54,SB,1698507536
111,georgetown,5.4112,100.3354,26.96,94,40,1.03,MY,1698507351
112,sao joao da barra,-21.6403,-41.0511,28.05,83,100,3.75,BR,1698507397
113,carnarvon,-24.8667,113.6333,20.3,72,6,10.9,AU,1698507537
114,malayer,34.2969,48.8235,13.91,25,78,0.97,IR,1698507530
115,anadyr,64.75,177.4833,2.28,93,100,5.0,RU,1698507538
116,iskateley,67.6803,53.1512,-12.21,90,72,3.58,RU,1698507540
117,bilibino,68.0546,166.4372,-21.18,98,61,0.61,RU,1698507540
